day,retention,eligible_users
1,0.292125,8000
2,0.215125,8000
3,0.182625,8000
4,0.159125,8000
5,0.151625,8000
6,0.13775,8000
7,0.1355,8000
8,0.11675,8000
9,0.115375,8000
10,0.110625,8000
11,0.1085,8000
12,0.10475,8000
13,0.093375,8000
14,0.09275,8000
15,0.094375,8000
16,0.091625,8000
17,0.086125,8000
18,0.08625,8000
19,0.08125,8000
20,0.082625,8000
21,0.0815,8000
22,0.0815,8000
23,0.08175,8000
24,0.079125,8000
25,0.078625,8000
26,0.07625,8000
27,0.07275,8000
28,0.07625,8000
29,0.074875,8000
30,0.074,8000
31,0.072875,8000
32,0.07025,8000
33,0.070625,8000
34,0.070625,8000
35,0.067375,8000
36,0.0695,8000
37,0.069375,8000
38,0.064125,8000
39,0.067375,8000
40,0.062625,8000
41,0.066125,8000
42,0.061,8000
43,0.0605,8000
44,0.0645,8000
45,0.060625,8000
